RecordID,Path1,picfolder,itemName,Suffix,Pic_URL
9,https://github.com/Manxo/PropcomAssetPics/blob/main,/00009,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/00009/3.jpg?raw=1
9,https://github.com/Manxo/PropcomAssetPics/blob/main,/00009,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/00009/4.jpg?raw=1
9,https://github.com/Manxo/PropcomAssetPics/blob/main,/00009,/5.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/00009/5.jpg?raw=1
10,https://github.com/Manxo/PropcomAssetPics/blob/main,/000010,/1.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000010/1.jpg?raw=1
10,https://github.com/Manxo/PropcomAssetPics/blob/main,/000010,/2.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000010/2.jpg?raw=1
10,https://github.com/Manxo/PropcomAssetPics/blob/main,/000010,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000010/3.jpg?raw=1
10,https://github.com/Manxo/PropcomAssetPics/blob/main,/000010,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000010/4.jpg?raw=1
10,https://github.com/Manxo/PropcomAssetPics/blob/main,/000010,/5.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000010/5.jpg?raw=1
11,https://github.com/Manxo/PropcomAssetPics/blob/main,/000011,/1.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000011/1.jpg?raw=1
11,https://github.com/Manxo/PropcomAssetPics/blob/main,/000011,/2.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000011/2.jpg?raw=1
11,https://github.com/Manxo/PropcomAssetPics/blob/main,/000011,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000011/3.jpg?raw=1
11,https://github.com/Manxo/PropcomAssetPics/blob/main,/000011,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000011/4.jpg?raw=1
11,https://github.com/Manxo/PropcomAssetPics/blob/main,/000011,/5.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000011/5.jpg?raw=1
12,https://github.com/Manxo/PropcomAssetPics/blob/main,/000012,/1.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000012/1.jpg?raw=1
12,https://github.com/Manxo/PropcomAssetPics/blob/main,/000012,/2.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000012/2.jpg?raw=1
12,https://github.com/Manxo/PropcomAssetPics/blob/main,/000012,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000012/3.jpg?raw=1
12,https://github.com/Manxo/PropcomAssetPics/blob/main,/000012,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000012/4.jpg?raw=1
12,https://github.com/Manxo/PropcomAssetPics/blob/main,/000012,/5.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000012/5.jpg?raw=1
13,https://github.com/Manxo/PropcomAssetPics/blob/main,/000013,/1.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000013/1.jpg?raw=1
13,https://github.com/Manxo/PropcomAssetPics/blob/main,/000013,/2.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000013/2.jpg?raw=1
13,https://github.com/Manxo/PropcomAssetPics/blob/main,/000013,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000013/3.jpg?raw=1
13,https://github.com/Manxo/PropcomAssetPics/blob/main,/000013,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000013/4.jpg?raw=1
13,https://github.com/Manxo/PropcomAssetPics/blob/main,/000013,/5.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000013/5.jpg?raw=1
14,https://github.com/Manxo/PropcomAssetPics/blob/main,/000014,/1.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000014/1.jpg?raw=1
14,https://github.com/Manxo/PropcomAssetPics/blob/main,/000014,/2.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000014/2.jpg?raw=1
14,https://github.com/Manxo/PropcomAssetPics/blob/main,/000014,/3.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000014/3.jpg?raw=1
14,https://github.com/Manxo/PropcomAssetPics/blob/main,/000014,/4.jpg,?raw=1,https://github.com/Manxo/PropcomAssetPics/blob/main/000014/4.jpg?raw=1
